FIPS,RegionName,year,median_home_value
06029,Kern County,2024,355755.63615415426
06075,San Francisco County,2024,1278533.034617082
06111,Ventura County,2024,886573.1146441662
06077,San Joaquin County,2024,552752.7008750099
06081,San Mateo County,2024,1563923.4882991211
06099,Stanislaus County,2024,465619.3052267852
06097,Sonoma County,2024,813719.9615501221
06107,Tulare County,2024,348385.9593369124
06095,Solano County,2024,595327.2375563547
06083,Santa Barbara County,2024,975022.839082649
06053,Monterey County,2024,858383.460589957
06061,Placer County,2024,688685.6445920023
06079,San Luis Obispo County,2024,884224.9818009338
06047,Merced County,2024,422226.49924258934
06087,Santa Cruz County,2024,1143501.4847082507
06041,Marin County,2024,1468813.3027340125
06007,Butte County,2024,398028.1874921928
06113,Yolo County,2024,630388.6561303529
06017,El Dorado County,2024,658121.6527735331
06089,Shasta County,2024,372636.12137371884
06025,Imperial County,2024,338856.3388356414
06039,Madera County,2024,410164.2235843262
06031,Kings County,2024,348467.2922588627
06055,Napa County,2024,923095.2974796983
06023,Humboldt County,2024,457141.63826854125
06057,Nevada County,2024,618471.3946959309
06101,Sutter County,2024,439327.0863978953
06045,Mendocino County,2024,512915.55655956065
06115,Yuba County,2024,426065.24912693846
06033,Lake County,2024,319042.59613567014
06103,Tehama County,2024,312945.47414780187
06069,San Benito County,2024,779922.5684344812
06109,Tuolumne County,2024,400226.45672679646
06009,Calaveras County,2024,451594.0667942665
06093,Siskiyou County,2024,289680.07618440513
06005,Amador County,2024,432739.62731176574
06035,Lassen County,2024,230929.08305976595
06021,Glenn County,2024,344561.6986509967
06015,Del Norte County,2024,365965.72247184237
06011,Colusa County,2024,370076.56323616975
06063,Plumas County,2024,371289.27735493897
06027,Inyo County,2024,504825.6956631344
06043,Mariposa County,2024,408366.23513914744
06105,Trinity County,2024,270116.85648995586
06051,Mono County,2024,735667.312917027
06049,Modoc County,2024,181517.1281724486
06091,Sierra County,2024,319464.0696222682
06003,Alpine County,2024,509959.94981922273
