year,NAME,GEO_ID,S1901_C01_012E,income_source
2016,"Napa County, California",0500000US06055,75077,1yr
2016,"Monterey County, California",0500000US06053,63876,1yr
2016,"Merced County, California",0500000US06047,47739,1yr
2016,"Mendocino County, California",0500000US06045,43809,1yr
2016,"Marin County, California",0500000US06041,103845,1yr
2016,"Madera County, California",0500000US06039,51657,1yr
2016,"Los Angeles County, California",0500000US06037,61338,1yr
2016,"Lake County, California",0500000US06033,42029,1yr
2016,"Kings County, California",0500000US06031,53234,1yr
2016,"Kern County, California",0500000US06029,49903,1yr
2016,"Imperial County, California",0500000US06025,49095,1yr
2016,"Humboldt County, California",0500000US06023,43130,1yr
2016,"Fresno County, California",0500000US06019,48715,1yr
2016,"El Dorado County, California",0500000US06017,75772,1yr
2021,"El Dorado County, California",0500000US06017,87491,1yr
2016,"Butte County, California",0500000US06007,45177,1yr
2016,"Orange County, California",0500000US06059,81837,1yr
2018,"Alameda County, California",0500000US06001,102125,1yr
2016,"Placer County, California",0500000US06061,85426,1yr
2016,"Sacramento County, California",0500000US06067,59780,1yr
2016,"Yolo County, California",0500000US06113,64904,1yr
2016,"Ventura County, California",0500000US06111,80135,1yr
2016,"Tulare County, California",0500000US06107,45881,1yr
2016,"Sutter County, California",0500000US06101,51397,1yr
2016,"Stanislaus County, California",0500000US06099,54305,1yr
2016,"Sonoma County, California",0500000US06097,73929,1yr
2016,"Solano County, California",0500000US06095,73900,1yr
2016,"Shasta County, California",0500000US06089,46724,1yr
2016,"Santa Cruz County, California",0500000US06087,77613,1yr
2016,"Santa Clara County, California",0500000US06085,111069,1yr
2016,"Santa Barbara County, California",0500000US06083,67436,1yr
2016,"San Mateo County, California",0500000US06081,108627,1yr
2016,"San Luis Obispo County, California",0500000US06079,70564,1yr
2016,"San Joaquin County, California",0500000US06077,59518,1yr
2016,"San Francisco County, California",0500000US06075,103801,1yr
2016,"San Diego County, California",0500000US06073,70824,1yr
2016,"San Bernardino County, California",0500000US06071,56337,1yr
2016,"Riverside County, California",0500000US06065,60134,1yr
2018,"Butte County, California",0500000US06007,51652,1yr
2016,"Contra Costa County, California",0500000US06013,91045,1yr
2018,"El Dorado County, California",0500000US06017,82742,1yr
2019,"Sacramento County, California",0500000US06067,72017,1yr
2019,"Riverside County, California",0500000US06065,73260,1yr
2019,"Placer County, California",0500000US06061,97723,1yr
2019,"Orange County, California",0500000US06059,95934,1yr
2019,"Nevada County, California",0500000US06057,68818,1yr
2019,"Napa County, California",0500000US06055,92769,1yr
2019,"Monterey County, California",0500000US06053,77514,1yr
2019,"Merced County, California",0500000US06047,61167,1yr
2019,"Mendocino County, California",0500000US06045,51744,1yr
2019,"Marin County, California",0500000US06041,110843,1yr
2019,"Madera County, California",0500000US06039,64827,1yr
2019,"Los Angeles County, California",0500000US06037,72797,1yr
2019,"Lake County, California",0500000US06033,47138,1yr
2019,"Kings County, California",0500000US06031,58453,1yr
2019,"Kern County, California",0500000US06029,53067,1yr
2019,"Imperial County, California",0500000US06025,48472,1yr
2019,"Humboldt County, California",0500000US06023,51662,1yr
2019,"San Bernardino County, California",0500000US06071,67903,1yr
2019,"Fresno County, California",0500000US06019,57518,1yr
2019,"San Diego County, California",0500000US06073,83985,1yr
2019,"San Joaquin County, California",0500000US06077,68997,1yr
2018,"Contra Costa County, California",0500000US06013,101618,1yr
2021,"Alameda County, California",0500000US06001,109729,1yr
2019,"Yuba County, California",0500000US06115,58765,1yr
2019,"Yolo County, California",0500000US06113,71417,1yr
2019,"Ventura County, California",0500000US06111,92236,1yr
2019,"Tulare County, California",0500000US06107,57692,1yr
2019,"Tehama County, California",0500000US06103,53475,1yr
2019,"Sutter County, California",0500000US06101,62777,1yr
2019,"Stanislaus County, California",0500000US06099,63037,1yr
2019,"Sonoma County, California",0500000US06097,87828,1yr
2019,"Solano County, California",0500000US06095,86652,1yr
2019,"Shasta County, California",0500000US06089,63091,1yr
2019,"Santa Cruz County, California",0500000US06087,89269,1yr
2019,"Santa Clara County, California",0500000US06085,133076,1yr
2019,"Santa Barbara County, California",0500000US06083,75653,1yr
2019,"San Mateo County, California",0500000US06081,138500,1yr
2019,"San Luis Obispo County, California",0500000US06079,77265,1yr
2019,"San Francisco County, California",0500000US06075,123859,1yr
2019,"El Dorado County, California",0500000US06017,87059,1yr
2021,"Butte County, California",0500000US06007,64738,1yr
2019,"Butte County, California",0500000US06007,62563,1yr
2018,"Placer County, California",0500000US06061,88592,1yr
2018,"Orange County, California",0500000US06059,89759,1yr
2018,"Nevada County, California",0500000US06057,66299,1yr
2018,"Napa County, California",0500000US06055,87025,1yr
2018,"Monterey County, California",0500000US06053,70681,1yr
2018,"Merced County, California",0500000US06047,57745,1yr
2018,"Marin County, California",0500000US06041,126373,1yr
2018,"Riverside County, California",0500000US06065,66964,1yr
2018,"Madera County, California",0500000US06039,56305,1yr
2018,"Lake County, California",0500000US06033,48554,1yr
2018,"Kings County, California",0500000US06031,61663,1yr
2018,"Kern County, California",0500000US06029,51579,1yr
2018,"Imperial County, California",0500000US06025,48984,1yr
2018,"Humboldt County, California",0500000US06023,50294,1yr
2018,"Fresno County, California",0500000US06019,52629,1yr
2019,"Contra Costa County, California",0500000US06013,107135,1yr
2018,"Los Angeles County, California",0500000US06037,68093,1yr
2018,"Sacramento County, California",0500000US06067,69767,1yr
2018,"Mendocino County, California",0500000US06045,51830,1yr
2018,"San Diego County, California",0500000US06073,79079,1yr
2018,"San Bernardino County, California",0500000US06071,63857,1yr
2018,"Yuba County, California",0500000US06115,46574,1yr
2018,"Yolo County, California",0500000US06113,68670,1yr
2018,"Ventura County, California",0500000US06111,84566,1yr
2018,"Tulare County, California",0500000US06107,48817,1yr
2018,"Sutter County, California",0500000US06101,59121,1yr
2018,"Sonoma County, California",0500000US06097,81395,1yr
2018,"Solano County, California",0500000US06095,84395,1yr
2018,"Stanislaus County, California",0500000US06099,60321,1yr
2019,"Alameda County, California",0500000US06001,108322,1yr
2018,"Santa Cruz County, California",0500000US06087,86941,1yr
2018,"Santa Clara County, California",0500000US06085,126606,1yr
2018,"Santa Barbara County, California",0500000US06083,77472,1yr
2018,"San Mateo County, California",0500000US06081,124425,1yr
2018,"San Luis Obispo County, California",0500000US06079,71148,1yr
2018,"San Joaquin County, California",0500000US06077,64119,1yr
